Sequence 0
Time	Observation	Hidden_State
99	1		not_available

----------------------------------------

Sequence 970
Time	Observation	Hidden_State
0	5		very_sad
1	1		not_available
2	0		not_available
3	3		not_available
4	2		not_available
5	2		not_available
6	0		not_available
7	0		not_available
8	4		not_available
9	2		not_available
10	0		not_available
11	0		not_available
12	2		not_available
13	3		not_available
14	1		not_available
15	3		not_available
16	4		not_available
17	5		not_available
18	0		not_available
19	3		not_available
20	3		not_available
21	2		not_available
22	2		not_available
23	1		not_available
24	2		not_available
25	0		not_available
26	5		not_available
27	3		not_available
28	0		not_available
29	5		not_available
30	1		not_available
31	4		not_available
32	0		not_available
33	5		not_available
34	0		not_available
35	0		not_available
36	2		not_available
37	2		not_available
38	2		not_available
39	1		not_available
40	2		not_available
41	4		not_available
42	3		not_available
43	4		not_available
44	3		not_available
45	1		not_available
46	4		not_available
47	1		not_available
48	1		not_available
49	5		not_available
50	4		not_available
51	3		not_available
52	0		not_available
53	2		not_available
54	2		not_available
55	4		not_available
56	4		not_available
57	2		not_available
58	1		not_available
59	5		not_available
60	0		not_available
61	2		not_available
62	3		not_available
63	3		not_available
64	3		not_available
65	0		not_available
66	1		not_available
67	5		not_available
68	3		not_available
69	0		not_available
70	5		not_available
71	2		not_available
72	0		not_available
73	2		not_available
74	2		not_available
75	2		not_available
76	2		not_available
77	1		not_available
78	4		not_available
79	2		not_available
80	1		not_available
81	3		not_available
82	1		not_available
83	5		not_available
84	3		not_available
85	3		not_available
86	0		not_available
87	4		not_available
88	5		not_available
89	4		not_available
90	2		not_available
91	4		not_available
92	1		not_available
93	5		not_available
94	5		not_available
95	4		not_available
96	5		not_available
97	0		not_available
98	5		not_available
99	3		not_available

----------------------------------------

Sequence 971
Time	Observation	Hidden_State
0	4		very_sad
1	3		not_available
2	3		not_available
3	0		not_available
4	5		not_available
5	1		not_available
6	1		not_available
7	1		not_available
8	1		not_available
9	3		not_available
10	4		not_available
11	0		not_available
12	4		not_available
13	4		not_available
14	0		not_available
15	1		not_available
16	5		not_available
17	0		not_available
18	5		not_available
19	1		not_available
20	3		not_available
21	4		not_available
22	1		not_available
23	3		not_available
24	0		not_available
25	2		not_available
26	5		not_available
27	2		not_available
28	2		not_available
29	3		not_available
30	1		not_available
31	1		not_available
32	4		not_available
33	3		not_available
34	5		not_available
35	5		not_available
36	4		not_available
37	3		not_available
38	3		not_available
39	3		not_available
40	1		not_available
41	4		not_available
42	5		not_available
43	3		not_available
44	0		not_available
45	4		not_available
46	4		not_available
47	1		not_available
48	2		not_available
49	0		not_available
50	3		not_available
51	1		not_available
52	3		not_available
53	2		not_available
54	2		not_available
55	5		not_available
56	0		not_available
57	0		not_available
58	2		not_available
59	3		not_available
60	0		not_available
61	4		not_available
62	1		not_available
63	4		not_available
64	0		not_available
65	0		not_available
66	5		not_available
67	1		not_available
68	4		not_available
69	5		not_available
70	4		not_available
71	4		not_available
72	3		not_available
73	5		not_available
74	5		not_available
75	4		not_available
76	1		not_available
77	5		not_available
78	1		not_available
79	5		not_available
80	1		not_available
81	0		not_available
82	5		not_available
83	5		not_available
84	5		not_available
85	2		not_available
86	3		not_available
87	4		not_available
88	3		not_available
89	4		not_available
90	2		not_available
91	3		not_available
92	2		not_available
93	4		not_available
94	5		not_available
95	2		not_available
96	5		not_available
97	2		not_available
98	4		not_available
99	2		not_available

----------------------------------------

Sequence 972
Time	Observation	Hidden_State
0	4		very_sad
1	0		not_available
2	1		not_available
3	4		not_available
4	1		not_available
5	1		not_available
6	4		not_available
7	2		not_available
8	0		not_available
9	0		not_available
10	3		not_available
11	3		not_available
12	0		not_available
13	5		not_available
14	2		not_available
15	4		not_available
16	3		not_available
17	4		not_available
18	3		not_available
19	1		not_available
20	2		not_available
21	2		not_available
22	2		not_available
23	5		not_available
24	3		not_available
25	0		not_available
26	0		not_available
27	1		not_available
28	3		not_available
29	5		not_available
30	5		not_available
31	2		not_available
32	0		not_available
33	5		not_available
34	5		not_available
35	2		not_available
36	1		not_available
37	5		not_available
38	5		not_available
39	3		not_available
40	0		not_available
41	1		not_available
42	3		not_available
43	5		not_available
44	0		not_available
45	2		not_available
46	3		not_available
47	5		not_available
48	5		not_available
49	5		not_available
50	3		not_available
51	2		not_available
52	4		not_available
53	3		not_available
54	0		not_available
55	3		not_available
56	1		not_available
57	4		not_available
58	2		not_available
59	4		not_available
60	0		not_available
61	1		not_available
62	4		not_available
63	5		not_available
64	0		not_available
65	2		not_available
66	2		not_available
67	4		not_available
68	0		not_available
69	0		not_available
70	5		not_available
71	2		not_available
72	3		not_available
73	0		not_available
74	5		not_available
75	2		not_available
76	4		not_available
77	3		not_available
78	4		not_available
79	0		not_available
80	0		not_available
81	2		not_available
82	5		not_available
83	1		not_available
84	0		not_available
85	1		not_available
86	1		not_available
87	3		not_available
88	1		not_available
89	2		not_available
90	1		not_available
91	2		not_available
92	2		not_available
93	1		not_available
94	0		not_available
95	0		not_available
96	2		not_available
97	3		not_available
98	1		not_available
99	5		not_available

----------------------------------------

Sequence 973
Time	Observation	Hidden_State
0	4		very_sad
1	0		not_available
2	5		not_available
3	3		not_available
4	2		not_available
5	0		not_available
6	0		not_available
7	2		not_available
8	5		not_available
9	0		not_available
10	1		not_available
11	2		not_available
12	2		not_available
13	1		not_available
14	5		not_available
15	2		not_available
16	3		not_available
17	0		not_available
18	1		not_available
19	2		not_available
20	2		not_available
21	4		not_available
22	1		not_available
23	0		not_available
24	3		not_available
25	1		not_available
26	3		not_available
27	5		not_available
28	1		not_available
29	1		not_available
30	4		not_available
31	5		not_available
32	4		not_available
33	5		not_available
34	2		not_available
35	3		not_available
36	1		not_available
37	2		not_available
38	1		not_available
39	2		not_available
40	3		not_available
41	5		not_available
42	5		not_available
43	1		not_available
44	1		not_available
45	3		not_available
46	3		not_available
47	0		not_available
48	4		not_available
49	1		not_available
50	5		not_available
51	3		not_available
52	0		not_available
53	5		not_available
54	2		not_available
55	5		not_available
56	3		not_available
57	3		not_available
58	5		not_available
59	1		not_available
60	0		not_available
61	1		not_available
62	4		not_available
63	3		not_available
64	3		not_available
65	1		not_available
66	2		not_available
67	3		not_available
68	1		not_available
69	1		not_available
70	3		not_available
71	1		not_available
72	1		not_available
73	2		not_available
74	3		not_available
75	3		not_available
76	5		not_available
77	0		not_available
78	0		not_available
79	0		not_available
80	1		not_available
81	1		not_available
82	3		not_available
83	3		not_available
84	5		not_available
85	4		not_available
86	0		not_available
87	0		not_available
88	1		not_available
89	3		not_available
90	5		not_available
91	0		not_available
92	5		not_available
93	2		not_available
94	1		not_available
95	2		not_available
96	0		not_available
97	0		not_available
98	3		not_available
99	2		not_available

----------------------------------------

Sequence 974
Time	Observation	Hidden_State
0	1		very_sad
1	1		not_available
2	2		not_available
3	5		not_available
4	0		not_available
5	4		not_available
6	1		not_available
7	3		not_available
8	0		not_available
9	2		not_available
10	4		not_available
11	1		not_available
12	3		not_available
13	1		not_available
14	1		not_available
15	5		not_available
16	4		not_available
17	5		not_available
18	2		not_available
19	3		not_available
20	3		not_available
21	1		not_available
22	5		not_available
23	3		not_available
24	2		not_available
25	4		not_available
26	5		not_available
27	1		not_available
28	5		not_available
29	2		not_available
30	1		not_available
31	5		not_available
32	3		not_available
33	5		not_available
34	0		not_available
35	3		not_available
36	5		not_available
37	2		not_available
38	2		not_available
39	4		not_available
40	3		not_available
41	4		not_available
42	3		not_available
43	0		not_available
44	2		not_available
45	2		not_available
46	3		not_available
47	1		not_available
48	4		not_available
49	2		not_available
50	2		not_available
51	5		not_available
52	3		not_available
53	4		not_available
54	0		not_available
55	1		not_available
56	3		not_available
57	4		not_available
58	2		not_available
59	0		not_available
60	1		not_available
61	5		not_available
62	4		not_available
63	1		not_available
64	0		not_available
65	0		not_available
66	5		not_available
67	4		not_available
68	3		not_available
69	4		not_available
70	3		not_available
71	0		not_available
72	4		not_available
73	2		not_available
74	5		not_available
75	3		not_available
76	4		not_available
77	2		not_available
78	1		not_available
79	3		not_available
80	2		not_available
81	5		not_available
82	2		not_available
83	3		not_available
84	3		not_available
85	5		not_available
86	2		not_available
87	2		not_available
88	3		not_available
89	2		not_available
90	2		not_available
91	0		not_available
